id,ciudad,tipo,area_m2,alcobas,banos,precio_cop,lat,lon,fecha,estado
CO038760,MEDELLIN,Casa,109.6,2,3,216700000.0,6.23526,-75.549642,2024-02-28,publicada
CO043235,BOGOTA,Casa,128.7,3,2,247600000.0,4.588845,-74.035797,2024-06-22,vendida
CO004450,MEDELLIN,Casa,176.7,2,2,200000000.0,6.198647,-75.559899,2024-04-10,comprada
CO025197,BOGOTA,Apartamento,77.8,2,2,159700000.0,4.660761,-74.049764,2024-10-11,publicada
CO031499,Bogota,Apartamento,84.9,2,2,165800000.0,4.662618,-74.11556,2024-03-21,comprada
CO010515,Barranquilla,Apartamento,144.6,4,3,167400000.0,11.048865,-74.789474,2024-07-23,vendida
CO022192,B/quilla,Apartaestudio,60.1,2,1,91600000.0,10.967727,-74.756594,2024-09-09,publicada
CO038984,B/quilla,Local,112.6,3,2,137100000.0,11.021988,-74.742628,2024-02-21,comprada
CO018735,MEDELLIN,Apartaestudio,175.6,3,2,269000000.0,6.202241,-75.563617,2024-02-14,vendida
CO004992,Santiago de Cali,Apartamento,127.0,4,3,140900000.0,3.377743,-76.458277,2024-07-08,comprada
CO016095,Medellín,Apartamento,123.5,1,1,218500000.0,6.297779,-75.509872,2024-11-04,comprada
CO017457,Cali,Apartamento,146.9,2,2,186700000.0,3.412863,-76.550933,2024-02-02,publicada
CO041317,BOGOTA,Casa,115.7,3,1,232100000.0,4.630991,-74.126221,2024-09-24,vendida
CO026597,Santiago de Cali,Local,145.1,2,3,172900000.0,3.477725,-76.573971,2024-01-22,publicada
CO029019,MEDELLIN,Casa,50.5,1,1,84100000.0,6.245047,-75.517661,2024-07-07,publicada
CO006121,Bogota,Apartaestudio,64.6,3,3,120800000.0,4.689503,-74.040778,2024-10-07,publicada
CO037995,Bogota D.C.,Casa,94.2,1,2,167200000.0,4.644956,-74.07377,2024-08-03,comprada
CO023011,B/quilla,Local,124.2,4,2,123400000.0,10.913543,-74.815802,2024-04-09,publicada
CO032237,Cali,Apartamento,197.7,2,3,269500000.0,3.40137,-76.515959,2024-06-13,remodelacion
CO021119,Bogotá,Apartamento,78.3,3,1,103600000.0,4.650549,-74.064806,2024-09-10,vendida
CO002728,Santiago de Cali,Casa,127.3,2,3,156700000.0,3.420672,-76.5064,2024-09-06,vendida
CO017546,Santiago de Cali,Local,165.3,2,2,213900000.0,3.4581,-76.526499,2024-07-18,remodelacion
CO003666,Bogota,Local,166.2,3,1,323200000.0,4.66855,-74.063987,2024-06-08,vendida
CO013082,Barranquilla,Local,92.8,3,2,100200000.0,10.921463,-74.738606,2024-09-27,vendida
CO019578,BOGOTA,Casa,32.6,1,2,60000000,4.652663,-74.147429,2024-08-03,vendida
CO030203,Medellín,Local,122.5,3,3,208200000.0,6.295728,-75.609495,2024-04-18,publicada
CO034296,MEDELLIN,Local,130.4,4,2,212800000.0,6.207698,-75.573272,2024-07-12,comprada
CO037307,Barranquilla,Apartaestudio,117.1,3,1,110000000.0,10.974311,-74.803295,2024-04-28,vendida
CO013532,MEDELLIN,Casa,96.8,3,1,128600000.0,6.297764,-75.59544,2024-12-28,comprada
CO003771,Cali,Apartamento,141.6,1,1,194600000.0,3.474153,-76.463377,2024-01-09,publicada
CO015114,B/quilla,Apartamento,28,3,1,60000000,11.031095,-74.806086,2024-12-06,vendida
CO024150,Santiago de Cali,Local,118.7,3,3,186000000.0,3.453528,-76.554098,2024-10-20,vendida
CO022026,Medellin,Apartaestudio,46.2,1,2,78800000.0,6.235054,-75.614403,2024-09-20,publicada
CO004001,Bogota,Casa,137.4,1,2,212200000.0,4.629526,-74.096436,2024-07-25,comprada
CO015703,Medellín,Local,83.3,3,2,115600000.0,6.222022,-75.53493,2024-05-18,publicada
CO030733,Bogotá,Apartamento,209.2,2,2,243500000.0,4.662733,-74.107337,2024-03-19,publicada
CO028586,Bogota D.C.,Apartamento,197.4,1,1,248300000.0,4.656905,-74.071791,2024-08-20,vendida
CO044237,B/quilla,Casa,132.8,1,1,171100000.0,11.023081,-74.798553,2024-09-19,comprada
CO036497,Bogota D.C.,Apartamento,129.1,2,2,172800000.0,4.585844,-74.050944,2024-11-12,vendida
CO006751,Medellín,Local,117.1,2,2,138700000.0,6.207575,-75.55665,2024-05-24,vendida
CO000848,Bogota,Apartamento,121.2,4,2,186400000.0,4.691251,-74.124919,2024-10-10,publicada
CO019321,Cali,Apartamento,92.3,1,2,111400000.0,3.370013,-76.452428,2024-02-07,publicada
CO002786,Barranquilla,Apartamento,95.6,4,1,109800000.0,10.973818,-74.800797,2024-07-08,publicada
CO044498,BOGOTA,Apartaestudio,151.0,2,3,271400000.0,4.631292,-74.038425,2024-11-20,remodelacion
CO022781,Bogotá,Apartamento,162.5,2,2,260900000.0,4.664738,-74.149387,2024-02-13,remodelacion
CO025213,Cali,Apartamento,47.1,2,1,60000000,3.437245,-76.46748,2024-06-25,remodelacion
