property_id,city,area_sqft,bhk,bathrooms,price_lakh,furnishing
IN00000,Hyderabad,1666,1,1,17.5,Unfurnished
IN00001,Hyderabad,1101,3,3,15,Semi
IN00002,Chennai,1042,4,1,16.72,Unfurnished
IN00003,Bangalore,1213,4,1,15.53,Unfurnished
IN00004,Delhi,1234,3,2,15,Furnished
IN00005,Kolkata,1450,2,2,20.53,Furnished
IN00006,Delhi,1247,3,2,16.19,Unfurnished
IN00007,Bangalore,1859,3,1,21.51,Unfurnished
IN00008,Bangalore,1833,3,1,15,Unfurnished
IN00009,Kolkata,1454,2,3,21.7,Semi
IN00010,Bangalore,1192,4,3,15,Unfurnished
IN00011,Kolkata,1699,3,3,15,Unfurnished
IN00012,Hyderabad,431,2,3,15,Semi
IN00013,Hyderabad,300,1,1,15,Unfurnished
IN00014,Mumbai,865,2,2,15,Semi
IN00015,Kolkata,1239,3,2,19.59,Furnished
IN00016,Hyderabad,1128,1,2,15,Furnished
IN00017,Delhi,476,3,2,15,Unfurnished
IN00018,Delhi,1193,2,2,15,Furnished
IN00019,Mumbai,1451,2,1,16.28,Semi
IN00020,Delhi,869,3,2,15,Unfurnished
IN00021,Delhi,1113,4,3,15,Semi
IN00022,Delhi,582,2,2,15,Semi
IN00023,Mumbai,1368,3,3,17.38,Semi
IN00024,Bangalore,410,3,3,15,Furnished
IN00025,Delhi,1223,2,1,15,Unfurnished
IN00026,Delhi,919,1,1,15,Unfurnished
IN00027,Chennai,692,3,2,15,Unfurnished
IN00028,Delhi,1389,3,2,27.78,Unfurnished
IN00029,Delhi,300,3,2,15,Furnished
IN00030,Bangalore,2090,2,3,39.88,Unfurnished
IN00031,Delhi,816,3,2,15,Furnished
IN00032,Mumbai,1332,3,3,19.53,Furnished
IN00033,Bangalore,462,2,3,15,Furnished
IN00034,Kolkata,436,2,3,15,Semi
IN00035,Hyderabad,657,3,2,15,Furnished
IN00036,Hyderabad,300,1,1,15,Furnished
IN00037,Chennai,576,3,3,15,Unfurnished
IN00038,Bangalore,439,3,2,15,Unfurnished
IN00039,Mumbai,1415,3,3,19.9,Unfurnished
IN00040,Chennai,774,3,2,15,Unfurnished
IN00041,Chennai,695,2,1,15,Unfurnished
IN00042,Mumbai,1594,3,2,18.45,Unfurnished
IN00043,Delhi,1382,2,1,15.59,Unfurnished
IN00044,Hyderabad,551,3,2,15,Semi
IN00045,Kolkata,1245,3,2,26.61,Semi
IN00046,Mumbai,1250,3,3,15,Furnished
IN00047,Chennai,790,3,2,15,Unfurnished
IN00048,Delhi,1087,3,1,17.97,Semi
IN00049,Hyderabad,519,2,2,15,Semi
IN00050,Delhi,962,4,2,15,Furnished
IN00051,Chennai,1266,2,3,15.09,Furnished
IN00052,Kolkata,545,1,2,15,Unfurnished
IN00053,Hyderabad,1765,2,1,15,Unfurnished
IN00054,Chennai,468,3,3,15,Furnished
IN00055,Hyderabad,686,1,1,15,Unfurnished
IN00056,Chennai,1718,2,3,21.35,Unfurnished
IN00057,Chennai,1424,2,2,15,Unfurnished
IN00058,Bangalore,1574,1,3,26.95,Furnished
IN00059,Bangalore,1795,3,2,15,Furnished
IN00060,Bangalore,830,3,1,15,Furnished
IN00061,Delhi,391,2,3,15,Semi
IN00062,Delhi,929,4,2,15,Furnished
IN00063,Mumbai,806,2,2,15,Semi
IN00064,Kolkata,1477,3,2,23.98,Furnished
IN00065,Hyderabad,952,2,2,15,Furnished
IN00066,Hyderabad,488,4,2,15,Unfurnished
IN00067,Chennai,1088,4,2,15.04,Semi
IN00068,Bangalore,1109,1,1,15,Semi
IN00069,Delhi,1169,3,2,17.24,Furnished
IN00070,Chennai,621,4,1,15,Unfurnished
IN00071,Bangalore,1999,3,1,15,Furnished
IN00072,Delhi,967,2,1,15,Semi
IN00073,Mumbai,1900,4,2,18.34,Unfurnished
IN00074,Mumbai,1674,2,1,15,Semi
IN00075,Delhi,1575,4,2,15,Furnished
IN00076,Chennai,602,1,3,15,Semi
IN00077,Chennai,1225,2,2,19.2,Unfurnished
IN00078,Bangalore,1001,3,2,15,Unfurnished
IN00079,Bangalore,1502,2,2,27.87,Semi
IN00080,Bangalore,1788,3,2,17.26,Semi
IN00081,Mumbai,1361,2,2,23.3,Semi
IN00082,Mumbai,1056,3,1,15,Semi
IN00083,Mumbai,1355,2,2,20.67,Semi
IN00084,Kolkata,1171,4,2,15,Unfurnished
IN00085,Bangalore,1232,3,3,15,Furnished
IN00086,Bangalore,1243,4,2,15,Furnished
IN00087,Mumbai,1466,3,1,23.75,Semi
IN00088,Hyderabad,1054,3,1,15,Semi
IN00089,Bangalore,332,2,3,15,Furnished
IN00090,Mumbai,970,4,1,15,Semi
IN00091,Bangalore,1004,3,3,17.04,Unfurnished
IN00092,Bangalore,363,1,1,15,Unfurnished
IN00093,Chennai,1592,2,2,35.75,Unfurnished
IN00094,Delhi,1095,2,1,15,Unfurnished
IN00095,Hyderabad,1137,2,2,15,Semi
IN00096,Mumbai,1388,3,3,21.87,Semi
IN00097,Mumbai,677,2,3,15,Semi
IN00098,Kolkata,1506,3,2,15,Semi
IN00099,Bangalore,1046,2,2,15,Unfurnished
IN00100,Bangalore,1275,4,2,16.52,Unfurnished
IN00101,Delhi,890,2,2,15,Furnished
IN00102,Bangalore,1169,4,2,15,Furnished
IN00103,Chennai,1178,1,2,24.87,Semi
IN00104,Delhi,628,2,1,15,Furnished
IN00105,Bangalore,1681,3,3,16.48,Semi
IN00106,Hyderabad,1365,3,1,22.34,Furnished
